race_id,bet_type,stake,return
202630072808,馬連,1000,0
202630072808,ワイド,1000,1570
202630072808,馬単,2000,0
202630072808,3連複,1000,0
202630072808,3連単,6000,0
202630072809,単勝,500,180
202630072809,複勝,500,580
202630072809,枠連,0,0
202630072809,馬連,1000,1240
202630072809,ワイド,1000,2740
202630072809,馬単,2000,1630
202630072809,3連複,1000,2600
202630072809,3連単,6000,7500
202630072810,単勝,500,880
202630072810,複勝,500,380
202630072810,枠連,0,0
202630072810,馬連,1000,1070
202630072810,ワイド,1000,480
202630072810,馬単,2000,3060
202630072810,3連複,1000,0
202630072810,3連単,6000,0
202630072811,単勝,500,230
202630072811,複勝,500,210
202630072811,枠連,0,0
202630072811,馬連,1000,130
202630072811,ワイド,1000,130
202630072811,馬単,2000,340
202630072811,3連複,1000,0
202630072811,3連単,6000,0
202630072812,単勝,500,110
202630072812,複勝,500,200
202630072812,枠連,0,0
202630072812,馬連,1000,180
202630072812,ワイド,1000,120
202630072812,馬単,2000,210
202630072812,3連複,1000,0
202630072812,3連単,6000,0
202635072801,単勝,500,340
202635072801,複勝,500,310
202635072801,枠連,0,0
202635072801,馬連,1000,390
202635072801,ワイド,1000,520
202635072801,馬単,2000,850
202635072801,3連複,1000,350
202635072801,3連単,6000,1890
202635072802,単勝,500,150
202635072802,複勝,500,330
202635072802,枠連,0,0
202635072802,馬連,1000,190
202635072802,ワイド,1000,640
202635072802,馬単,2000,250
202635072802,3連複,1000,360
202635072802,3連単,6000,800
202635072803,単勝,500,100
202635072803,複勝,500,360
202635072803,枠連,0,0
202635072803,馬連,1000,480
202635072803,ワイド,1000,740
202635072803,馬単,2000,470
202635072803,3連複,1000,550
202635072803,3連単,6000,1550
202635072804,単勝,500,220
202635072804,複勝,500,370
202635072804,枠連,0,0
202635072804,馬連,1000,0
202635072804,ワイド,1000,500
202635072804,馬単,2000,0
202635072804,3連複,1000,0
202635072804,3連単,6000,0
202635072805,単勝,500,310
202635072805,複勝,500,310
202635072805,枠連,0,0
202635072805,馬連,1000,230
202635072805,ワイド,1000,480
202635072805,馬単,2000,580
202635072805,3連複,1000,250
202635072805,3連単,6000,1360
202635072806,単勝,500,300
202635072806,複勝,500,440
202635072806,枠連,0,0
202635072806,馬連,1000,220
202635072806,ワイド,1000,950
202635072806,馬単,2000,480
202635072806,3連複,1000,750
202635072806,3連単,6000,2410
202635072807,単勝,500,150
202635072807,複勝,500,390
202635072807,枠連,0,0
202635072807,馬連,1000,0
202635072807,ワイド,1000,440
202635072807,馬単,2000,0
202635072807,3連複,1000,0
202635072807,3連単,6000,0
202635072808,単勝,500,210
202635072808,複勝,500,130
202635072808,枠連,0,0
202635072808,馬連,1000,0
202635072808,ワイド,1000,0
202635072808,馬単,2000,0
202635072808,3連複,1000,0
202635072808,3連単,6000,0
202635072809,単勝,500,1390
202635072809,複勝,500,510
202635072809,枠連,0,0
202635072809,馬連,1000,3550
202635072809,ワイド,1000,840
202635072809,馬単,2000,7630
202635072809,3連複,1000,0
202635072809,3連単,6000,0
202635072810,単勝,500,350
202635072810,複勝,500,380
202635072810,枠連,0,0
202635072810,馬連,1000,600
202635072810,ワイド,1000,870
202635072810,馬単,2000,1290
202635072810,3連複,1000,700
202635072810,3連単,6000,3770
202635072811,単勝,500,210
202635072811,複勝,500,670
202635072811,枠連,0,0
202635072811,馬連,1000,1270
202635072811,ワイド,1000,3080
202635072811,馬単,2000,3620
202635072811,3連複,1000,5350
202635072811,3連単,6000,17780
202635072812,単勝,500,0
202635072812,複勝,500,1510
202635072812,枠連,0,0
202635072812,馬連,1000,0
202635072812,ワイド,1000,0
202635072812,馬単,2000,0
202635072812,3連複,1000,0
202635072812,3連単,6000,0
202645072801,単勝,500,110
202645072801,複勝,500,510
